No.,Date,Account,Note,Amount,Label,Time
121,22-01-2022,Pocket,dinner,40,0.0,0
122,23-01-2022,Pocket,dinner,40,0.0,0
123,24-01-2022,Pocket,dinner,40,0.0,0
124,25-01-2022,Pocket,dinner,40,0.0,0
125,26-01-2022,Pocket,dinner,50,0.0,0
126,27-01-2022,Pocket,dinner,40,0.0,0
127,28-01-2022,Pocket,dinner,40,0.0,0
128,29-01-2022,Pocket,dinner,40,0.0,0
129,30-01-2022,Pocket,dinner,40,0.0,0
130,31-01-2022,Pocket,dinner,60,0.0,0
131,01-02-2022,Pocket,dinner,40,0.0,0
132,02-02-2022,Pocket,dinner,40,0.0,0
133,03-02-2022,Pocket,dinner,40,0.0,0
134,06-02-2022,Pocket,dinner,60,0.0,0
135,07-02-2022,Pocket,dinner,40,0.0,0
136,08-02-2022,Pocket,dinner,40,0.0,0
137,09-02-2022,Pocket,dinner,40,0.0,0
138,09-02-2022,Pocket,courier,50,0.0,0
139,10-02-2022,Pocket,dinner,40,0.0,0
140,13-02-2022,Pocket,dinner,40,0.0,0
141,14-02-2022,Pocket,dinner,40,0.0,0
142,15-02-2022,Pocket,dinner,40,0.0,0
143,16-02-2022,Pocket,dinner,40,0.0,0
144,19-02-2022,Pocket,dinner,40,0.0,0
145,20-02-2022,Pocket,dinner,40,0.0,0
146,21-02-2022,Pocket,dinner,40,0.0,0
147,22-02-2022,Pocket,dinner,40,0.0,0
148,23-02-2022,Pocket,dinner,40,0.0,0
149,24-02-2022,Pocket,dinner,40,0.0,0
150,25-02-2022,Pocket,dinner,70,0.0,0
151,26-02-2022,Pocket,dinner,40,0.0,0
152,27-02-2022,Pocket,dinner,40,0.0,0
153,28-02-2022,Pocket,dinner,40,0.0,0
154,01-03-2022,Pocket,dinner,40,0.0,0
155,02-03-2022,Pocket,dinner,40,0.0,0
156,03-03-2022,Pocket,dinner,40,0.0,0
157,04-03-2022,Pocket,dinner,40,0.0,0
158,05-03-2022,Pocket,dinner,40,20.0,0
159,06-03-2022,Pocket,Rajan,0,1000.0,0
160,08-03-2022,Pocket,dinner,80,0.0,0
161,08-03-2022,Pocket,biscuits,30,0.0,0
162,09-03-2022,Pocket,dinner,40,0.0,0
163,13-03-2022,Pocket,lemon🍋,5,0.0,0
164,13-03-2022,Pocket,dinner,40,0.0,0
165,14-03-2022,Pocket,dinner,40,0.0,0
166,15-03-2022,Pocket,dinner,40,0.0,0
167,16-03-2022,Pocket,dinner,40,0.0,0
168,17-03-2022,Pocket,dinner,50,0.0,0
169,18-03-2022,Pocket,dinner,80,0.0,0
170,19-03-2022,Pocket,dinner,40,0.0,0
171,20-03-2022,Pocket,dinner,40,0.0,0
172,21-03-2022,Pocket,dinner,40,0.0,0
173,22-03-2022,Pocket,dinner,40,0.0,0
174,23-03-2022,Pocket,dinner,40,0.0,0
175,24-03-2022,Pocket,dinner,70,0.0,0
176,25-03-2022,Pocket,dinner,40,0.0,0
177,26-03-2022,Pocket,WATERMELON 🍉 ,35,0.0,0
178,26-03-2022,Pocket,dinner,40,0.0,0
179,27-03-2022,Pocket,dinner,40,0.0,0
180,28-03-2022,Pocket,dinner,40,0.0,0
181,29-03-2022,Pocket,dinner,40,0.0,0
182,30-03-2022,Pocket,dinner,80,0.0,0
183,31-03-2022,Pocket,dinner,60,0.0,0
184,31-03-2022,Pocket,graps,25,0.0,0
185,01-04-2022,Pocket,dinner,25,0.0,0
186,02-04-2022,Pocket,dinner,60,0.0,0
187,03-04-2022,Pocket,Other,62,5500.0,0
188,03-04-2022,Pocket,rent,5000,0.0,0
189,03-04-2022,Pocket,dinner,63,0.0,0
190,04-04-2022,Pocket,dinner,50,0.0,0
191,05-04-2022,Pocket,dinner,60,0.0,0
192,07-04-2022,Pocket,dinner,40,0.0,0
193,07-04-2022,Pocket,ગાંઠિયા,30,0.0,0
194,08-04-2022,Pocket,dinner,40,0.0,0
195,09-04-2022,Pocket,🍉+બંગોલો+ટેટી,45,0.0,0
196,09-04-2022,Pocket,dinner,40,0.0,0
197,10-04-2022,Pocket,Mall,258,0.0,0
198,10-04-2022,Pocket,dinner,40,0.0,0
199,11-04-2022,Pocket,dinner,50,0.0,0
200,12-04-2022,Pocket,dinner,40,500.0,0
201,13-04-2022,Pocket,dinner,40,0.0,0
202,14-04-2022,Pocket,dinner,40,0.0,0
203,14-04-2022,Pocket,graps,50,0.0,0
204,15-04-2022,Pocket,dinner,40,0.0,0
205,16-04-2022,Pocket,dinner,40,0.0,0
206,17-04-2022,Pocket,dinner,40,0.0,0
207,19-04-2022,Pocket,dinner,40,0.0,0
208,20-04-2022,Pocket,dinner+ છાસ,50,0.0,0
209,21-04-2022,Pocket,dinner,40,0.0,0
210,22-04-2022,Pocket,dinner,40,0.0,0
211,23-04-2022,Pocket,🍉,25,0.0,0
